Titulo,Pais,Ano,Minutagem,Genero,Sinopse
The Forty-Year-Old Version,United States,2020,124,"Comedies, Dramas, Independent Movies",desperate for a breakthrough as she nears the big 4 0  struggling new york city playwright radha finds inspiration by reinventing herself as a rapper 
Bigflo & Oli: Hip Hop Frenzy,France,2020,100,"Documentaries, International Movies, Music & Musicals",go backstage with french rap duo bigflo   oli in this intimate music documentary  then join the superstar siblings as they embark on a major tour 
Palermo Hollywood,Argentina,2004,106,"Dramas, International Movies",a pair of petty criminals from different backgrounds get tangled up in a gangster s kidnapping scheme that goes awry 
Hubie Halloween,United States,2020,104,"Comedies, Horror Movies",hubie s not the most popular guy in salem  mass   but when halloween turns truly spooky  this good hearted scaredy cat sets out to keep his town safe 
American Pie 9: Girls' Rules,United States,2020,96,Comedies,four tight knit high school seniors vow to turn their love lives around by homecoming when the arrival of a new student muddles their plans 
Dolly Parton: Here I Am,United Kingdom,2019,90,"Documentaries, Music & Musicals",dolly parton leads a moving  musical journey in this documentary that details the people and places who have helped shape her iconic career 
StarBeam: Halloween Hero,Canada,2020,33,Children & Family Movies,greedy captain fishbeard is stealing everybody s halloween treats for himself  but starbeam and boost have some tricks up their sleeves to save the day 
Walk Away from Love,United States,2017,81,"Dramas, Romantic Movies",heartbroken from her last relationship  an attorney is wary of falling in love again  but crossing paths with an ex upends her plans to finally move on 
David Attenborough: A Life on Our Planet,"United States, United Kingdom",2020,84,Documentaries,a broadcaster recounts his life  and the evolutionary history of life on earth  to grieve the loss of wild places and offer a vision for the future 
"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",Canada,2020,44,"Documentaries, LGBTQ Movies",from unseen footage to the last table read  this documentary takes an inside look at the final season of the acclaimed comedy series  schitt s creek  
Good Game: The Beginning,Turkey,2018,115,"Dramas, International Movies, Sports Movies",new high school grad and avid gamer cenk is recruited to an intense esports team that trains for a tournament with a life changing prize 
A Chaster Marriage,Turkey,2016,94,"Comedies, International Movies, Romantic Movies",forced to wed his childhood friend  a man obsessed with football attempts to get rid of his wife in order to keep the woman he truly loves 
Òlòtūré,Nigeria,2020,107,"Dramas, International Movies",in lagos  a journalist goes undercover as a prostitute to expose human trafficking  what she finds is a world of exploited women and ruthless violence 
Serious Men,India,2020,115,"Comedies, Dramas, International Movies",when a slum dweller spins a web of lies in pursuit of the upward mobility he has long craved  his ruse could be especially dangerous for his young son 
The Binding,Italy,2020,93,"Horror Movies, International Movies, Thrillers",while visiting her fianc  s mother in southern italy  a woman must fight the mysterious and malevolent curse intent on claiming her daughter 
Turkish Dance School,Turkey,2017,107,"Comedies, International Movies, Romantic Movies",a woman recovering from an attempted suicide meets an aspiring doctor who takes a keen interest in her efforts to move forward in life through dance 
Vampires vs. the Bronx,United States,2020,86,"Comedies, Horror Movies",three gutsy kids from a rapidly gentrifying bronx neighborhood stumble upon a sinister plot to suck all the life from their beloved community 
You've Got This,Mexico,2020,112,"Comedies, International Movies, Romantic Movies",an ad creative and a successful exec have a great marriage   until he wants to be a dad just as her star is rising  then he brings someone new home 
All Because of You,Malaysia,2020,102,"Action & Adventure, Comedies, International Movies",after falling for a guest  an unsuspecting hotel staff becomes embroiled in a hostage scheme and discovers true love in an unlikely place 
An Ordinary Man,"Serbia, United States",2017,91,"Dramas, Thrillers",a war criminal in hiding begins to suspect that the maid  his only confidant and contact with the outside world  may be hiding something herself 
Carlos Almaraz: Playing with Fire,United States,2019,83,"Documentaries, LGBTQ Movies",mixing archival footage with interviews  this film celebrates one of los angeles s most influential painters and chicano art activists from the 1970s 
Cold Harbour,South Africa,2013,73,"Action & Adventure, Dramas, International Movies",when a war breaks out between competing gangs of smugglers in cape town  south africa  an honest cop is pressured to work for a powerful crime lord 
Free State of Jones,United States,2016,139,"Action & Adventure, Dramas",a mississippi farmer turns outlaw as he leads a ragtag band of fellow civil war deserters and escaped slaves in a rebellion against the confederacy 
Human Nature,United States,2019,95,Documentaries,from breakthrough science to the boundaries of morality  this documentary spotlights a revelation in genetic modification research known as crispr 
Hunt for the Wilderpeople,New Zealand,2016,101,"Action & Adventure, Comedies, Dramas",a misadventure in the wilderness leads to life changing discoveries for a troubled orphan teen from the city and his belligerent foster father 
I'm Leaving Now,"United States, Mexico",2019,75,"Documentaries, International Movies",in this evocative documentary  an undocumented immigrant plans to return to mexico after 16 years but his family tells him he needs to stay in the us 
Rize,"United States, United Kingdom",2005,87,"Documentaries, Music & Musicals",this documentary explores  krumping   a fast paced urban dance  and follows the man that originated the phenomenon in south central los angeles 
The Book of Sun,Saudi Arabia,2020,120,"Comedies, Independent Movies, International Movies",a high school senior sets out to make a no budget horror film with his friend  one time rival and teacher  but the project soon jeopardizes their future 
The Outpost,"United States, Bulgaria",2020,123,"Action & Adventure, Dramas",a group of vastly outnumbered u s  soldiers at a remote afghanistan base must fend off a brutal offensive by taliban fighters in the battle of kamdesh 
We Have Always Lived in the Castle,United States,2018,95,"Dramas, Thrillers",the fragile and secretive world of two sisters and their uncle crumbles when their charming cousin arrives with eyes toward the family fortune 
American Murder: The Family Next Door,United States,2020,84,Documentaries,using raw  firsthand footage  this documentary examines the disappearance of shanann watts and her children  and the terrible events that followed 
Baxu and the Giants,Namibia,2019,29,"Dramas, International Movies",a young girl grows increasingly concerned about the rhino poaching in her village when it begins to directly impact her impoverished family 
Poacher,"United Kingdom, Kenya",2018,28,"Dramas, International Movies, Thrillers",a daring farmer steals illicit ivory from a group of international terrorists and must elude their dangerous and deadly games 
The Boys in the Band,United States,2020,122,"Dramas, LGBTQ Movies",at a birthday party in 1968 new york  a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths 
The Boys in the Band: Something Personal,United States,2020,28,"Documentaries, LGBTQ Movies",decades after his play first put gay life center stage  mart crowley joins the cast and crew of the 2020 film to reflect on the story s enduring legacy 
Bully,United States,2012,98,Documentaries,this eye opening documentary tracks the stories of five different families whose children are struggling to defend themselves from school bullies 
Michelle Buteau: Welcome to Buteaupia,United States,2020,59,Stand-Up Comedy,scene stealing queen michelle buteau dazzles with real talk on relationships  parenthood  cultural differences and the government workers who adore her 
Welcome to Sudden Death,United States,2020,80,Action & Adventure,at a basketball game  an ex special forces officer must face a group of tech savvy hostiles when a team owner and his daughter are taken hostage 
Amandla! A Revolution in Four Part Harmony,"South Africa, United States",2002,103,"Documentaries, International Movies, Music & Musicals",this documentary recounts the fascinating and little known role that music has played in the struggle to eradicate apartheid in south africa 
Ankhon Dekhi,India,2013,104,"Dramas, Independent Movies, International Movies",after a distressing incident  a delhi man vows to believe only what he can see  but his new ideals soon take his life in extreme directions 
Dedh Ishqiya,India,2014,146,"Comedies, Dramas, International Movies",after failing to win the heart of an aristocrat s widow  a thief plans to abduct her  only to discover that there are others with the same idea 
Golmaal Returns,India,2008,135,"Comedies, International Movies, Music & Musicals",a man s relationship with his jealous wife enters choppy waters after he has to spend a night on a yacht with a woman he s rescued from gangsters 
Ishq Vishk,India,2003,129,"Comedies, International Movies, Music & Musicals",when the duplicitous rajiv expresses his love for payal  a cruel lie kicks off a story of self discovery and unexpected romance 
Ishqiya,India,2009,115,"Comedies, International Movies, Romantic Movies",a deceitful woman seduces two of her late husband s crooked friends into helping her hatch a nefarious kidnapping plot for a hefty ransom 
Jab We Met,India,2007,143,"Comedies, International Movies, Music & Musicals",changing fortunes await a wealthy but dejected industrialist when he meets a spirited chatterbox on a train in this breezy bollywood romantic comedy 
Mann,India,1999,173,"Dramas, International Movies, Romantic Movies",a smooth talker falls for a music teacher aboard a cruise  but a cruel twist of fate hinders their plans to meet again months later 
Manorama Six Feet Under,India,2007,129,"Dramas, International Movies, Thrillers",a government employee and aspiring crime writer  who is under investigation for corruption  is asked by a politician s wife to spy on her husband 
Welcome,India,2007,149,"Comedies, International Movies, Music & Musicals",in this silly bollywood farce  the brothers of a mafia princess set out on a comical mission to marry their sister into a respectable family 
Time Out,India,2015,98,"Dramas, Independent Movies, International Movies",raised in the privileged bubble of delhi s elite  a teen is compelled to question his outlook on life and love when his older brother comes out as gay 
Real Steel,"United States, India",2011,127,"Action & Adventure, Sci-Fi & Fantasy, Sports Movies",a struggling fighter turned promoter reconnects with his estranged son to convert an old generation robot into a mighty world robot boxing contender 
Enola Holmes,United Kingdom,2020,124,"Action & Adventure, Children & Family Movies, Dramas",while searching for her missing mother  intrepid teen enola holmes uses her sleuthing skills to outsmart big brother sherlock and help a runaway lord 
Kiss the Ground,United States,2020,85,Documentaries,science experts and celebrity activists unpack the ways in which the earth s soil may be the key to combating climate change and preserving the planet 
A Love Song for Latasha,United States,2020,20,Documentaries,the killing of latasha harlins became a flashpoint for the 1992 la uprising  this documentary evocatively explores the 15 year old s life and dreams 
DTC Yukemuri Junjo Hen From High & Low,Japan,2018,102,"Dramas, International Movies",dan  tettsu and chiharu leave the battles of the sword district behind for a carefree road trip adventure and end up working in a hot spring resort 
High & Low The Movie,Japan,2016,129,"Action & Adventure, International Movies",the five rival gangs ruling the sword district unite to face off against a 500 member strong attack led by a legendary gang leader 
High & Low The Movie 2 / End of Sky,Japan,2017,124,"Action & Adventure, International Movies",the peaceful truce in the sword district is violently disrupted by the intrusion of two brutal gangs  causing loyalties and rivalries to erupt 
High & Low The Movie 3 / Final Mission,Japan,2017,118,"Action & Adventure, International Movies",the kuryu group makes it their mission to takeover the sword district once and for all  but the street gang alliance has a plan of their own 
High & Low The Red Rain,Japan,2016,111,"Action & Adventure, International Movies",as the two younger amamiya boys search for their missing big brother  they uncover the truth about the tragedy that befell their family years ago 
Road To High & Low,Japan,2016,94,"Action & Adventure, International Movies",three inseparable friends are torn when one of them becomes a member of a predatory criminal syndicate threatening to overpower his old friends  gang 
The Blue Elephant 2,Egypt,2019,130,"Horror Movies, International Movies, Thrillers",when a former criminal psychiatrist discovers that a patient holds a secret that threatens his family  he must resort to extreme measures to save them 
Bhaji In Problem,India,2013,117,"Comedies, International Movies",married to two women   each unaware of the other   a man finds his double life threatened when an old friend who knows his not so little secret arrives 
Black,India,2015,137,"Action & Adventure, International Movies",a small town man takes on a dangerous gangster to avenge his father  a police officer who ended his own life after being framed in a deadly crime 
Saheb Biwi Aur Gangster Returns,India,2013,139,"Dramas, International Movies, Romantic Movies",knotty love triangles and nefarious schemes arise when a nobleman s plans to remarry fall into the cunning hands of his first wife and a vengeful rival 
Santa Banta Pvt Ltd,India,2016,111,"Comedies, International Movies",passed off as spies  two inept pals are sent to fiji to rescue a kidnapped bureaucrat  soon enough  they re creating more problems than they re solving 
The Royal Bengal Tiger,India,2014,103,"Dramas, International Movies, Thrillers",knocked down by life one too many times  a meek family man drastically transforms from shy to savage after an encounter with a mysterious friend 
Dolly Kitty Aur Woh Chamakte Sitare,India,2020,120,"Dramas, Independent Movies, International Movies",a disillusioned delhi wife and her new in town cousin navigate damning secrets  dreams and their thorny dynamic on their respective roads to freedom 
Whipped,Indonesia,2020,98,"Comedies, International Movies, Romantic Movies",four buddies attend a class taught by a love guru who leads them to question their romantic attachments   until her hidden agenda comes to light 
Anaamika,India,2014,130,"International Movies, Thrillers",as a woman scours hyderabad for her missing husband  she becomes entangled in a conspiracy that suggests there s more to the mystery than meets the eye 
GIMS: On the Record,France,2020,96,"Documentaries, International Movies, Music & Musicals",go backstage with beloved rap superstar gims in the year leading up to his major 2019 stade de france performance in this up close documentary 
Horrid Henry's Gross Day Out,United Kingdom,2020,61,"Children & Family Movies, Comedies",worlds collide when henry makes plans to spend saturday on the sofa watching a  gross class zero  marathon   and his favorite characters come to life 
Residue,United States,2020,90,"Dramas, Independent Movies",a young screenwriter returns to his hometown to write a script based on his childhood and discovers his neighborhood has been gentrified 
The Devil All The Time,United States,2020,139,"Dramas, Thrillers",sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality 
The Paramedic,Spain,2020,94,"Dramas, International Movies, Thrillers",unable to face his new reality in a wheelchair   ngel develops a deadly obsession with the woman who left him and unleashes a sinister revenge plot 
The Take,"United Kingdom, France, United States, Belgium, Luxembourg, China, Germany",2016,92,"Action & Adventure, International Movies",after a mix up lands him in hot water  a skilled pickpocket is forced to help a no nonsense cia operative track a terrorist group in paris 
Hope Frozen: A Quest to Live Twice,"Thailand, United States",2020,80,"Documentaries, International Movies",a thai scientist and his family decide to cryonically freeze their cherished  dying toddler  this heartfelt documentary follows their journey 
Michael McIntyre: Showman,United Kingdom,2020,63,Stand-Up Comedy,charming comic michael mcintyre talks family  technology  sharks  accents and the time he confused himself for a world leader in this stand up special 
Raising Victor Vargas,"France, United States",2002,88,"Dramas, Independent Movies, Romantic Movies",a suave teen sets his sights on a girl who seems beyond his reach  but his game can t be confined to his tiny apartment and family s old school values 
The Smurfs 2,"United States, France, Canada, Belgium",2013,105,"Children & Family Movies, Comedies",evil magician gargamel continues his quest to tap the power of the smurfs  creating a pair of his own  smurf alikes  called the naughties 
Lara and the Beat,Nigeria,2018,140,"Dramas, International Movies, Music & Musicals",when their glamorous  fast paced lifestyle comes to a screeching halt  two sisters try to rebuild their fortunes through music and enterprise 
Dad Wanted,Mexico,2020,103,"Children & Family Movies, Comedies, Dramas",what does a thrill seeker tween girl do when her mom forbids her to enter a bmx race  cast an actor with nothing to lose to play her approving dad 
How to Train Your Dragon 2,United States,2014,102,Children & Family Movies,hiccup  toothless and a mysterious dragon rider join forces to protect the island of berk from a power hungry warrior with a dragon army of his own 
Pets United,"Germany, China, United Kingdom",2020,93,"Children & Family Movies, Comedies",a street smart dog and a pampered cat join forces to lead a pack of unlikely heroes when their city is seized by its evil mayor   and his robot army 
Aapla Manus,India,2018,133,"Dramas, International Movies, Thrillers",when a man falls from his balcony  an investigator questions the victim s family  determined to uncover a darker truth behind the alleged accident 
Ani... Dr. Kashinath Ghanekar,India,2018,157,"Dramas, International Movies",from his singular career to his personal demons  this biopic chronicles the short yet prolific life of the marathi dentist turned superstar 
Bhai: Vyakti Ki Valli - Poorvardha,India,2019,116,"Dramas, International Movies",this first of a two part biopic depicts the early years that lay the foundation for beloved marathi writer and comedian p l  deshpande s iconic career 
Bhai: Vyakti Ki Valli - Uttarardh,India,2019,112,"Dramas, International Movies",the second installment of p l  deshpande s biopic explores the marathi humorist s political journey  philanthropic endeavors and personal life 
Cycle,India,2018,96,"Comedies, Dramas, International Movies",when his prized bicycle is stolen  an astrologer s search turns into a journey of self realization   while the thieves learn a few lessons of their own 
Dhh,India,2017,127,"Children & Family Movies, Dramas, International Movies",convinced only a miracle can save them from failing school exams  a trio of friends seek help from a magician  to their surprise  he gamely complies 
Kaagar,India,2019,130,"Dramas, International Movies, Romantic Movies",when an activist begins aiding a shrewd political advisor   also his girlfriend s father  personal agendas lead to betrayal as love and duty clash 
Night of Knots,Turkey,2018,93,"Comedies, International Movies, Romantic Movies",two exes run into each other at a wedding hall and realize they still harbor romantic feelings  the one problem  they just got married to other people 
PhotoCopy,India,2016,138,"Comedies, Dramas, International Movies",posing as her bubbly identical twin for a quiz contest  a shy student crushes on a fellow participant  who falls for her   thinking she s her sister 
Poshter Girl,India,2016,138,"Comedies, Dramas, International Movies",in a town infamous for female infanticide  a young woman s arrival has local bachelors vying for her hand in marriage   but she has a bigger agenda 
Satria Heroes: Revenge of the Darkness,Indonesia,2017,92,Children & Family Movies,as he rebuilds society in a parallel universe  a superhero must return to earth to help his equally powerful friend defend the planet from evil rivals 
Son Of Adam,Egypt,2018,110,"Dramas, International Movies, Thrillers",to escape conviction on criminal charges  a businessman agrees to aid a risky police mission  but his motives soon turn suspicious 
The Babysitter: Killer Queen,United States,2020,102,"Comedies, Horror Movies",two years after cole survived a satanic blood cult  he s living another nightmare  high school  and the demons from his past  still making his life hell 
Cargo,India,2020,113,"Comedies, Dramas, Independent Movies",aboard a spaceship where souls of the deceased are readied for reincarnation  a lone crew member s rigid existence is disrupted by a spry new assistant 
Cuties,France,2020,96,"Dramas, International Movies",eleven year old amy starts to rebel against her conservative family s traditions when she becomes fascinated with a free spirited dance crew 
So Much Love to Give,Argentina,2020,108,"Comedies, International Movies, Music & Musicals",fernando is a family man   equally committed to each of his two families  but one wrong turn brings them crashing together 
The Social Dilemma,United States,2020,94,Documentaries,this documentary drama hybrid explores the dangerous human impact of social networking  with tech experts sounding the alarm on their own creations 
#Alive,South Korea,2020,99,"Horror Movies, International Movies, Thrillers",as a grisly virus rampages a city  a lone man stays locked inside his apartment  digitally cut off from seeking help and desperate to find a way out 
My Octopus Teacher,South Africa,2020,86,"Children & Family Movies, Documentaries, International Movies",a filmmaker forges an unusual friendship with an octopus living in a south african kelp forest  learning as the animal shares the mysteries of her world 
Toll Booth,Turkey,2010,98,"Dramas, Independent Movies, International Movies",a toll booth operator s mundane life is upended when he s reassigned to a remote spot  where he finds intriguing strangers   and a new side to himself 
"Waiting for ""Superman""",United States,2010,111,Documentaries,this dynamic documentary weaves together stories about students  educators and reformers to shed light on america s failing public school system 
Villain,United Kingdom,2020,97,Dramas,fresh out of prison  an ex con tries to save his debt ridden brother and the family pub until local mobsters draw him back to a criminal underworld 
I'm Thinking of Ending Things,United States,2020,135,"Dramas, Independent Movies",nothing is as it seems when a woman experiencing misgivings about her new boyfriend joins him on a road trip to meet his parents at their remote farm 
Kandasamys: The Wedding,South Africa,2019,93,"Comedies, Dramas, International Movies",with their clashing demands  the mothers of both bride and groom turn wedding prep into comical chaos in this sequel to  keeping up with the kandasamys  
The Lost Okoroshi,Nigeria,2019,94,"Comedies, Dramas, Independent Movies",a disillusioned security guard transforms into a masquerade  channeling ancestral spirits as he roams the streets of lagos 
You're My Boss,Philippines,2015,117,"Comedies, International Movies, Romantic Movies",pong  a corporate assistant  poses as his company s president in order to help georgina  a marketing executive  close a crucial business deal 
Afonso Padilha: Classless,Brazil,2020,63,Stand-Up Comedy,brazilian comedian afonso padilha dives into his humble beginnings and digs out hilarious stories about his childhood in this very personal set 
Ave Maryam,Indonesia,2018,73,"Dramas, Independent Movies, International Movies",a devoted nun who cares for her elder sisters must choose between upholding her vows or pursuing her forbidden feelings for a fascinating pastor 
"Love, Guaranteed",United States,2020,91,"Comedies, Independent Movies, Romantic Movies",sparks fly when a crusading but cash strapped attorney takes on a charming client looking to sue a dating site that guarantees its users will find love 
Freaks – You're One of Us,Germany,2020,93,"Dramas, Independent Movies, International Movies",tipped by a mysterious tramp  a meek fry cook discovers she has superpowers   and kindred spirits   and uncovers an unsavory  widespread conspiracy 
Hotel for Dogs,"Germany, United States",2009,101,"Children & Family Movies, Comedies",placed in a foster home that doesn t allow pets  16 year old andi and her younger brother bruce turn an abandoned hotel into a home for their dog 
Sky Tour: The Movie,Vietnam,2020,93,"Documentaries, International Movies, Music & Musicals",from the preparations to the performances  this documentary showcases vietnamese pop idol s n t ng m tp and the passion behind his sky tour concerts 
Adrift,"Hong Kong, Iceland, United States",2018,96,"Action & Adventure, Dramas, Romantic Movies",a young couple s sailing adventure becomes a fight to survive when their yacht faces a catastrophic hurricane in this story based on true events 
Always Be My Maybe,Philippines,2016,112,"International Movies, Romantic Movies",after being unexpectedly dumped by their respective lovers  a man and a woman have a chance meeting at a resort and embark on a unique relationship 
Barbie Princess Adventure,Netherlands,2020,72,"Children & Family Movies, Music & Musicals",through music and magic  barbie learns what it s like to be a modern princess when she trades places with a royal lookalike 
Children of the Sea,"Japan, United States",2019,112,"Anime Features, International Movies",ruka spends her summer at the aquarium  where she s drawn into an enigmatic aquatic event alongside two mysterious boys raised in the ocean 
Fate/Grand Order -First Order-,Japan,2016,72,"Action & Adventure, Anime Features, International Movies",discovering that humanity is facing extinction  a new recruit to the chaldea security organization goes back in time in order to save the future 
Puss in Boots,United States,2011,92,"Children & Family Movies, Comedies",the fabled feline heads to the land of giants with friends humpty dumpty and kitty softpaws on a quest to nab its greatest treasure  the golden goose 
Sex Drive,United States,2008,109,Comedies,eager to hook up with a woman he met online  18 year old ian embarks on an epic road trip that speeds straight toward trouble in this raunchy comedy 
Soldier,India,1998,155,"Comedies, Dramas, International Movies",on the run from indian police  a mysterious man escapes to australia and falls in love with the daughter of an indian criminal who lives there 
"Take the Ball, Pass the Ball",Spain,2018,109,"Documentaries, International Movies, Sports Movies",through firsthand accounts and analysis  this football documentary details the dominance of fc barcelona from 2008 2012 under manager pep guardiola 
The Boss Baby: Get That Baby!,United States,2020,115,"Children & Family Movies, Comedies",think you ve got what it takes to be the boss  this interactive special puts your skills to the test and matches you up with one of 16 jobs at baby corp 
The Match,Italy,2020,97,"Dramas, International Movies, Sports Movies",one football match on a dirt pitch near rome becomes a day of reckoning as a young player  his coach and their team s owner wrestle internal demons 
The Smurfs,"United States, Belgium, Canada, France",2011,103,"Children & Family Movies, Comedies",when evil gargamel tries to capture them  the smurfs flee their woodland home  pass through a magic portal and find themselves stranded in new york 
True: Friendship Day,Canada,2020,24,Children & Family Movies,when a giant grippity grab snags grizelda s friendship bracelet and turns her into a mermaid  true heads under the sea with magic wishes to save the day 
Maniyarayile Ashokan,India,2020,110,"Comedies, International Movies, Romantic Movies",when his unlucky horoscope doesn t bode well for his future wife  an earnest bachelor goes to surprising lengths to get the family he s always wanted 
The Debt Collector 2,United States,2020,97,Action & Adventure,french and sue have two days to collect on three debts  using as much force as it takes   all while evading the wrath of a crime lord out for revenge 
All Together Now,United States,2020,94,Dramas,an optimistic  talented teen clings to a huge secret  she s homeless and living on a bus  when tragedy strikes  can she learn to accept a helping hand 
Santana,"South Africa, Angola",2020,107,"Action & Adventure, International Movies",two brothers   one a narcotics agent and the other a general   finally discover the identity of the drug lord who murdered their parents decades ago 
Unknown Origins,Spain,2020,97,"International Movies, Thrillers",a very chiseled but somber detective must find a serial killer who leaves clues that only his mentor s nerdy comics loving son can decipher 
Edge of Seventeen,United States,1998,103,"Comedies, Dramas, Independent Movies",a 17 year old confronts confusion and heartbreak as he rediscovers his sexuality in this story about coming out and its social consequences 
The Bridge Curse,Taiwan,2020,88,"Horror Movies, International Movies, Thrillers",a group of university students decides to test an urban legend about the ghost of a female student that haunts a campus bridge 
The Young Messiah,United States,2016,111,"Dramas, Faith & Spirituality",tormented by a demon and on the run from a roman centurion  a 7 year old jesus and his parents  mary and joseph  flee egypt for nazareth 
Lingua Franca,"United States, Philippines",2019,94,"Dramas, International Movies, LGBTQ Movies",an undocumented trans woman seeking legal status in the us becomes romantically involved with the grandson of the elderly woman she cares for 
Making The Witcher,United States,2020,33,Documentaries,journey into the extraordinary world of  the witcher    from casting the roles to jaskier s catchy song   in this behind the scenes look at the series 
Rising Phoenix,United Kingdom,2020,107,"Documentaries, International Movies, Sports Movies",elite athletes and insiders reflect on the paralympic games and examine how they impact a global understanding of disability  diversity and excellence 
Septembers of Shiraz,United States,2016,110,"Dramas, Thrillers",in post revolution tehran  a wealthy jewish businessman is summarily jailed and tortured  but along with his wife  he fights for answers and freedom 
Class of '83,India,2020,98,"Dramas, International Movies, Thrillers",demoted to an academy job  a cop trains five foolhardy students as assassins in his risky revenge plot against police corruption and the underworld 
Dark Forces,Mexico,2020,81,"Horror Movies, Independent Movies, International Movies",in search of his sister  a renegade criminal seeks answers at a sordid hotel where he encounters a sinister guest and romances a mysterious waitress 
The Sleepover,United States,2020,104,"Action & Adventure, Children & Family Movies, Comedies",what do you do if your parents are kidnapped by a crew of international thieves  you begin a wild overnight adventure   complete with spy gear 
John Was Trying to Contact Aliens,United States,2020,17,"Documentaries, LGBTQ Movies",a rural electronics whiz broadcasts radio signals into space and monitors for signs of aliens  but makes a more important connection here on earth 
Scarecrow,Egypt,2019,121,"Comedies, International Movies",when his former partners vote to sell off a pricey piece of stolen jewelry  a thief recruits his grandson to help him retain it and repent for his deed 
The Crimes That Bind,Argentina,2020,100,"Dramas, International Movies",when her son is accused of raping and trying to murder his ex wife  alicia embarks on a journey that will change her life forever 
Drunk Parents,United States,2019,97,Comedies,two desperate parents go to extreme lengths to hide their dire financial straits from their daughter and friends 
Meet the In-Laws,Nigeria,2017,75,"Comedies, Dramas, International Movies",when their respective parents oppose their union  a newly engaged couple learns that the reasons for pushback run deeper than just tribal differences 
Crazy Awesome Teachers,Indonesia,2020,102,"Comedies, Dramas, International Movies",when staff salaries get stolen at his school  a reluctant new teacher sets out to recoup the money and soon discovers the joys of teaching 
Islands of Faith,Indonesia,2018,88,"Documentaries, Faith & Spirituality, International Movies",through the lens of faiths and cultures in seven provinces in indonesia  this documentary follows individuals who strive to address climate change 
Les Misérables,"United Kingdom, United States",2012,158,"Dramas, International Movies, Music & Musicals",the musical version of victor hugo s epic tale of love and sacrifice  first produced for the stage in 1985  now receives the big screen treatment 
Seventh Son,"United States, United Kingdom, Canada, China",2014,102,"Action & Adventure, Sci-Fi & Fantasy",in the 18th century  apprentice exorcist tom ward is the lynchpin in a battle between good and evil when imprisoned witch mother malkin escapes 
What's Your Raashee?,India,2009,203,"Comedies, International Movies, Music & Musicals",to protect his family from ruin  yogesh must marry his dream girl in only ten days  so he rushes into dating women with different astrological signs 
Fearless,Canada,2020,92,"Children & Family Movies, Comedies",a teen gamer is forced to level up to full time babysitter when his favorite video game drops three superpowered infants from space into his backyard 
Nigerian Prince,"United States, Nigeria",2018,104,"Dramas, Independent Movies",when a stubborn american teenager is sent to nigeria by his mother  his cousin s scamming business becomes a viable option for securing a return flight 
Octonauts & the Caves of Sac Actun,United Kingdom,2020,72,Children & Family Movies,the octonauts embark on an underwater adventure  navigating a set of challenging caves to help a small octopus friend return home to the caribbean sea 
Project Power,United States,2020,113,Action & Adventure,an ex soldier  a teen and a cop collide in new orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers 
An Easy Girl,France,2019,93,"Comedies, Dramas, International Movies",a teen girl is drawn to her cousin s hedonistic lifestyle when they spend the summer together in cannes as she learns about herself and her own values 
Christine,"United Kingdom, United States",2016,119,"Dramas, Independent Movies",in a film based on true events  an awkward but ambitious tv reporter struggles to adapt when she s ordered to focus on violent and salacious stories 
Simon Killer,"United States, France",2012,105,"Dramas, Independent Movies, Thrillers",young and heartbroken  a new yorker travels to paris to escape his romantic woes but is soon drawn into another all consuming attraction 
Gunjan Saxena: The Kargil Girl,India,2020,113,"Action & Adventure, Dramas, International Movies",flight lieutenant gunjan saxena makes history in her journey from aspiring aviator to india s first female combat pilot in the kargil war 
Mr. Peabody & Sherman,United States,2014,93,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",resurrected from the 1960s animated series  rocky and bullwinkle   canine genius mr  peabody and young sherman take a dizzying ride through time 
"Rob Schneider: Asian Momma, Mexican Kids",United States,2020,44,Stand-Up Comedy,former  saturday night live  star rob schneider returns to the stage and shares his take on life  love and dinosaur dreams in this stand up special 
The Lost Husband,United States,2020,110,"Dramas, Romantic Movies",looking to start anew  a widow retreats with her children to her aunt s goat farm  where the ranch s manager helps her navigate country life and loss 
We Summon the Darkness,"United States, Canada, United Kingdom",2020,90,"Horror Movies, Thrillers",a night at a 1980s heavy metal concert hits a grisly note when new friends find themselves in the middle of a satanic murder spree 
"Berlin, Berlin: Lolle on the Run",Germany,2020,82,"Comedies, International Movies",in this cinematic sequel to the hit tv series  lolle has moved on from sven and is about to marry her friend hart   until sven disrupts her plans 
Stars in the Sky: A Hunting Story,United States,2018,69,Documentaries,this documentary follows a group of hunters as they grapple with the complexities  controversies  and contradictions of pursuing animals in the wild 
The Magic School Bus Rides Again Kids In Space,United States,2020,46,Children & Family Movies,the magic school bus kids blast into orbit   and onto the international space station   only to find themselves on the run from a giant tardigrade 
Work It,United States,2020,94,Comedies,a brilliant but clumsy high school senior vows to get into her late father s alma mater by transforming herself and a misfit squad into dance champions 
Nasha Natasha,Uruguay,2020,72,"Documentaries, International Movies, Music & Musicals",concert and behind the scenes footage capture life on tour for uruguayan sensation natalia oreiro as she performs for packed crowds throughout russia 
